theta (deg),xi^2_R,yerror (lower), yerror (upper)
0.000000000000000000e+00,7.039085274254700542e-01,2.322670474880993430e-01,1.866834240426195057e-01
4.487710843373494463e+00,3.096787406941522436e-01,1.050307083765814886e-01,8.826170421761897478e-02
8.975421686746988925e+00,2.270544031002100505e-01,5.858113044544738246e-02,4.330411771898237672e-02
1.346313253012048250e+01,5.056641934789029014e-01,1.584266573254682897e-01,9.884567457857229567e-02
1.795084337349397785e+01,2.125671530792065944e+00,4.496293024467814536e-01,3.169727790047307536e-01
2.243855421686746965e+01,2.746216226055546716e+00,1.074229619010615311e+00,8.308764945349915720e-01
2.692626506024096500e+01,5.771779808564834191e+00,1.616551404856125806e+00,1.141532465420941556e+00
3.141397590361446035e+01,5.337873401609742885e+00,1.867566935071065082e+00,1.474059523218835821e+00
3.590168674698795570e+01,6.763262735021315031e+00,2.001680416855783129e+00,1.214243612181539866e+00
4.038939759036144039e+01,1.455211964745040376e+01,4.611187682912531116e+00,3.504421831026306222e+00
4.487710843373493930e+01,1.341142790022096598e+01,4.602756116560943411e+00,3.109965146418121051e+00
4.936481927710843820e+01,1.691773125107598474e+01,4.667926933406402412e+00,2.948583023673464254e+00
5.385253012048193000e+01,2.178187975742756066e+01,6.494455923775840134e+00,4.295845484684800653e+00
5.834024096385542890e+01,1.890948017379216850e+01,6.308714757375225801e+00,4.707190929376363187e+00
6.282795180722892070e+01,3.137016293437925896e+01,7.910122138980117512e+00,6.185214504426028270e+00
6.731566265060241960e+01,2.521805353442164943e+01,6.565177508635603232e+00,6.192973331813114157e+00
7.180337349397591140e+01,2.848450559687504935e+01,6.821461093042206159e+00,5.070572056889002255e+00
7.629108433734941741e+01,2.219035704175794521e+01,6.635264023969099867e+00,4.440754051331282426e+00
8.077879518072288079e+01,3.564644219013324999e+01,1.207364353012451019e+01,9.212281202633370469e+00
8.526650602409637258e+01,4.287408570437147404e+01,1.199971477248068652e+01,7.836181311259359461e+00
8.975421686746987859e+01,5.114706919281127284e+01,1.296336486949193301e+01,8.295358867329937880e+00
