0,1,2,3,4,5,6,7,8
8.029752338303676462e-02,8.704437185221554352e-02,8.885514267061690730e-02,1.103577504323438180e-01,9.239404927603130091e-02,1.103577504323438180e-01,8.885514267061689342e-02,8.704437185221552964e-02,8.029752338303676462e-02
8.704437185221554352e-02,9.105726086129724284e-02,1.094946377541645977e-01,1.112300015535217790e-01,1.153460648974821146e-01,1.112300015535217651e-01,1.094946377541645977e-01,9.105726086129724284e-02,8.704437185221554352e-02
8.885514267061690730e-02,1.094946377541645977e-01,1.205907621038954936e-01,1.354314846123920724e-01,1.482630665286020499e-01,1.354314846123920724e-01,1.205907621038954936e-01,1.094946377541645977e-01,8.885514267061690730e-02
1.103577504323438180e-01,1.112300015535217790e-01,1.354314846123920724e-01,1.590732038879769938e-01,1.667346805341389238e-01,1.590732038879769938e-01,1.354314846123920724e-01,1.112300015535217790e-01,1.103577504323438180e-01
9.239404927603130091e-02,1.153460648974821146e-01,1.482630665286020499e-01,1.667346805341389238e-01,0.000000000000000000e+00,1.667346805341388960e-01,1.482630665286020499e-01,1.153460648974821284e-01,9.239404927603130091e-02
1.103577504323438180e-01,1.112300015535217651e-01,1.354314846123920724e-01,1.590732038879769938e-01,1.667346805341388960e-01,1.590732038879770216e-01,1.354314846123920724e-01,1.112300015535217651e-01,1.103577504323438180e-01
8.885514267061689342e-02,1.094946377541645977e-01,1.205907621038954936e-01,1.354314846123920724e-01,1.482630665286020499e-01,1.354314846123920724e-01,1.205907621038955074e-01,1.094946377541645977e-01,8.885514267061689342e-02
8.704437185221552964e-02,9.105726086129724284e-02,1.094946377541645977e-01,1.112300015535217790e-01,1.153460648974821284e-01,1.112300015535217651e-01,1.094946377541645977e-01,9.105726086129724284e-02,8.704437185221554352e-02
8.029752338303676462e-02,8.704437185221554352e-02,8.885514267061690730e-02,1.103577504323438180e-01,9.239404927603130091e-02,1.103577504323438180e-01,8.885514267061689342e-02,8.704437185221554352e-02,8.029752338303676462e-02
