Shot index,Infidelity,yerror
0.000000000000000000e+00,7.841910134944886216e-05,9.615556009516323206e-06
2.000000000000000000e+02,8.525899760355271995e-05,7.191626174800929124e-06
4.000000000000000000e+02,7.829188218640260953e-05,8.771927420798189399e-06
6.000000000000000000e+02,4.862926367719100747e-05,5.947783995427094876e-06
8.000000000000000000e+02,4.814443334210401334e-05,6.568597156535019410e-06
1.000000000000000000e+03,4.779994989614444294e-05,7.106067399582287332e-06
1.200000000000000000e+03,5.339341250111084673e-05,5.269229030914297471e-06
1.400000000000000000e+03,9.130277145719969088e-05,1.187486145734983801e-05
1.600000000000000000e+03,4.852780350972202668e-05,1.185648248811999652e-05
1.800000000000000000e+03,4.326739805032312153e-05,4.905388817248397558e-06
2.000000000000000000e+03,5.648602678524691366e-05,7.578893966386490022e-06
2.200000000000000000e+03,3.739030528063672039e-05,6.575002086519912096e-06
2.400000000000000000e+03,7.494853041046464239e-05,9.110577243385545041e-06
2.600000000000000000e+03,1.210127525636848172e-04,2.578813098723355951e-05
2.800000000000000000e+03,4.268678692344086311e-05,5.734034199184508909e-06
